iter	Passed	Remaining
140	10240	26073
141	10339	26067
142	10421	26016
143	10490	25935
144	10605	25964
145	10690	25920
146	10771	25865
147	10842	25788
148	10906	25692
149	10962	25579
150	11011	25449
151	11076	25360
152	11188	25374
153	11298	25385
154	11391	25356
155	11458	25268
156	11529	25188
157	11616	25145
158	11735	25168
159	11827	25133
160	11885	25026
161	11948	24929
162	12016	24843
163	12079	24749
164	12151	24671
165	12214	24576
166	12283	24492
167	12352	24411
168	12429	24345
169	12488	24241
170	12547	24140
171	12619	24064
172	12678	23964
173	12736	23862
174	12791	23756
175	12875	23703
176	13035	23788
177	13146	23781
178	13226	23718
179	13302	23648
180	13388	23596
181	13483	23558
182	13535	23446
183	13590	23340
184	13634	23215
185	13682	23098
186	13734	22988
187	13780	22870
188	13828	22754
189	13878	22644
190	13927	22532
191	13973	22415
192	14020	22301
193	14072	22197
194	14130	22101
195	14195	22017
196	14259	21932
197	14315	21835
198	14371	21738
199	14432	21648
200	14483	21544
201	14539	21449
202	14623	21395
203	14733	21377
204	14817	21322
205	14888	21249
206	14963	21180
207	15034	21105
208	15110	21039
209	15170	20949
210	15236	20869
211	15299	20784
212	15414	20770
213	15482	20691
214	15559	20625
215	15661	20591
216	15741	20528
217	15823	20468
218	15895	20395
219	15957	20308
220	16044	20255
221	16116	20181
222	16189	20109
223	16251	20024
224	16322	19949
225	16394	19876
226	16458	19793
227	16518	19706
228	16580	19621
229	16639	19533
230	16697	19444
231	16760	19360
232	16811	19264
233	16865	19172
234	16923	19084
235	16975	18989
236	17024	18892
237	17086	18809
238	17142	18720
239	17199	18632
240	17259	18548
241	17311	18455
242	17482	18490
243	17543	18406
244	17695	18418
245	17863	18444
246	17965	18402
247	18032	18323
248	18100	18246
249	18199	18199
250	18278	18133
251	18356	18065
252	18427	17990
253	18499	17916
254	18568	17839
255	18642	17768
256	18735	17714
257	18832	17664
258	18928	17612
259	19021	17558
260	19116	17505
261	19209	17450
262	19277	17372
263	19357	17304
264	19424	17225
265	19485	17141
266	19542	17053
267	19602	16969
268	19659	16881
269	19708	16788
270	19769	16705
271	19829	16622
272	19886	16535
273	19946	16452
274	20002	16365
275	20051	16273
276	20156	16227
277	20323	16229
278	20425	16179
279	20517	16120
280	20613	16065
281	20686	15991
282	20779	15933
283	20852	15859
284	20907	15772
285	20967	15689
286	21035	15611
287	21086	15521
288	21138	15433
289	21201	15352
290	21254	15265
291	21323	15189
292	21411	15126
293	21503	15067
294	21606	15014
295	21691	14949
296	21785	14890
297	21855	14815
298	21947	14753
299	22010	14673
300	22085	14601
301	22148	14521
302	22213	14442
303	22274	14361
304	22329	14276
305	22375	14186
306	22431	14101
307	22478	14012
308	22541	13933
309	22661	13889
310	22752	13827
311	22804	13741
312	22856	13655
313	22904	13567
314	22960	13484
315	23003	13394
316	23055	13309
317	23108	13225
318	23156	13139
319	23209	13055
320	23263	12972
321	23322	12892
322	23368	12805
323	23419	12721
324	23470	12638
325	23524	12556
326	23593	12482
327	23688	12421
328	23780	12360
329	23850	12286
330	23946	12226
331	24064	12177
332	24166	12119
333	24237	12046
334	24294	11965
335	24347	11884
336	24406	11804
337	24457	11722
338	24515	11642
339	24564	11559
340	24623	11481
341	24682	11403
342	24743	11325
343	24841	11265
344	24989	11227
345	25123	11182
346	25204	11113
347	25287	11045
348	25367	10975
349	25443	10904
350	25511	10829
351	25571	10751
352	25633	10674
353	25689	10595
354	25743	10514
355	25798	10435
356	25846	10352
357	25900	10273
358	25955	10194
359	26010	10115
360	26098	10049
361	26199	9987
362	26275	9916
363	26340	9841
364	26411	9768
365	26463	9688
366	26524	9612
367	26583	9535
368	26636	9456
369	26697	9380
370	26750	9301
371	26805	9223
372	26860	9145
373	26910	9066
374	26963	8987
375	27019	8910
376	27066	8830
377	27122	8753
378	27178	8677
379	27244	8603
380	27308	8529
381	27400	8464
382	27492	8398
383	27583	8332
384	27697	8273
385	27796	8209
386	27942	8159
387	28093	8109
388	28275	8068
389	28422	8016
390	28642	7984
391	28802	7935
392	28938	7878
393	29021	7807
394	29115	7739
395	29233	7677
396	29384	7623
397	29569	7578
398	29768	7535
